epoch:60 train_acc:99.906 test_acc:73.7 train_loss:0.011466409719270437 test_loss:1.2886403776422333 train_top5_correct:100.0 test_top5_correct:92.58
epoch:61 train_acc:99.902 test_acc:73.67 train_loss:0.010968131742075733 test_loss:1.289218527606771 train_top5_correct:99.996 test_top5_correct:92.54
epoch:62 train_acc:99.882 test_acc:73.6 train_loss:0.011785259723420377 test_loss:1.2979747788815559 train_top5_correct:99.998 test_top5_correct:92.61
epoch:63 train_acc:99.878 test_acc:72.99 train_loss:0.012052552765616408 test_loss:1.3557304174085207 train_top5_correct:99.998 test_top5_correct:92.26
epoch:64 train_acc:99.876 test_acc:73.98 train_loss:0.01142857630994371 test_loss:1.29244651975511 train_top5_correct:100.0 test_top5_correct:92.57
epoch:65 train_acc:99.928 test_acc:74.23 train_loss:0.009524132348978153 test_loss:1.286518412300303 train_top5_correct:100.0 test_top5_correct:92.73
epoch:66 train_acc:99.92 test_acc:74.14 train_loss:0.010167753201244814 test_loss:1.2792664539964893 train_top5_correct:100.0 test_top5_correct:92.84
epoch:67 train_acc:99.94 test_acc:74.44 train_loss:0.009213362541168814 test_loss:1.2636320689056493 train_top5_correct:100.0 test_top5_correct:92.96
epoch:68 train_acc:99.95 test_acc:74.33 train_loss:0.00753282234572884 test_loss:1.258034504667113 train_top5_correct:100.0 test_top5_correct:92.94
epoch:69 train_acc:99.944 test_acc:74.25 train_loss:0.007899069788810961 test_loss:1.269600592836549 train_top5_correct:100.0 test_top5_correct:92.83
epoch:70 train_acc:99.934 test_acc:74.11 train_loss:0.007258100592343094 test_loss:1.264107688318325 train_top5_correct:100.0 test_top5_correct:92.71
epoch:71 train_acc:99.924 test_acc:74.47 train_loss:0.008712652766400628 test_loss:1.2579421914076503 train_top5_correct:99.998 test_top5_correct:92.66
epoch:72 train_acc:99.946 test_acc:74.2 train_loss:0.007485556643684883 test_loss:1.261373983153814 train_top5_correct:100.0 test_top5_correct:92.52
epoch:73 train_acc:99.97 test_acc:74.5 train_loss:0.006199454430781324 test_loss:1.2519155348403543 train_top5_correct:100.0 test_top5_correct:92.94
epoch:74 train_acc:99.954 test_acc:74.8 train_loss:0.006163643960081174 test_loss:1.2336036947709095 train_top5_correct:100.0 test_top5_correct:92.93
epoch:75 train_acc:99.95 test_acc:74.8 train_loss:0.006484637353116708 test_loss:1.2322604203525978 train_top5_correct:99.998 test_top5_correct:92.97
epoch:76 train_acc:99.874 test_acc:73.3 train_loss:0.009879470236547044 test_loss:1.3056273083143597 train_top5_correct:100.0 test_top5_correct:92.44
epoch:77 train_acc:99.904 test_acc:73.65 train_loss:0.009436138371443924 test_loss:1.2870377777497979 train_top5_correct:100.0 test_top5_correct:92.4
epoch:78 train_acc:99.948 test_acc:74.49 train_loss:0.007524871036334111 test_loss:1.2218482524533816 train_top5_correct:100.0 test_top5_correct:92.98
epoch:79 train_acc:99.952 test_acc:74.34 train_loss:0.006856985386613461 test_loss:1.2466410074052932 train_top5_correct:99.998 test_top5_correct:92.84
epoch:80 train_acc:99.95 test_acc:74.22 train_loss:0.006362795832750323 test_loss:1.2534356245511695 train_top5_correct:100.0 test_top5_correct:92.69
epoch:81 train_acc:99.952 test_acc:74.53 train_loss:0.006468166704968456 test_loss:1.2428328055369704 train_top5_correct:100.0 test_top5_correct:92.8
epoch:82 train_acc:99.96 test_acc:74.83 train_loss:0.005983133410589527 test_loss:1.2255836204637456 train_top5_correct:100.0 test_top5_correct:92.95
epoch:83 train_acc:99.974 test_acc:74.58 train_loss:0.005427206305505903 test_loss:1.2246710665618317 train_top5_correct:100.0 test_top5_correct:92.94
epoch:84 train_acc:99.914 test_acc:74.4 train_loss:0.007895013914726998 test_loss:1.2276232272763796 train_top5_correct:100.0 test_top5_correct:92.71
epoch:85 train_acc:99.934 test_acc:73.03 train_loss:0.007531651179603947 test_loss:1.298910064033315 train_top5_correct:100.0 test_top5_correct:92.28
epoch:86 train_acc:99.932 test_acc:74.3 train_loss:0.008662002332046476 test_loss:1.2257714822322507 train_top5_correct:100.0 test_top5_correct:92.5
epoch:87 train_acc:99.962 test_acc:74.4 train_loss:0.00665440015813998 test_loss:1.2100688385058054 train_top5_correct:99.998 test_top5_correct:92.87
epoch:88 train_acc:99.962 test_acc:74.63 train_loss:0.005726930756798333 test_loss:1.2256577822226513 train_top5_correct:100.0 test_top5_correct:92.92
epoch:89 train_acc:99.914 test_acc:73.74 train_loss:0.008954464625257551 test_loss:1.2655879764617244 train_top5_correct:100.0 test_top5_correct:92.23
epoch:90 train_acc:99.922 test_acc:74.32 train_loss:0.008481563940105954 test_loss:1.2364415390582024 train_top5_correct:100.0 test_top5_correct:92.64
epoch:91 train_acc:99.952 test_acc:74.39 train_loss:0.0063351864594242075 test_loss:1.2099456953096994 train_top5_correct:100.0 test_top5_correct:92.76
epoch:92 train_acc:99.948 test_acc:73.52 train_loss:0.006666920212742961 test_loss:1.2803122423872162 train_top5_correct:99.998 test_top5_correct:92.28
epoch:93 train_acc:99.956 test_acc:74.28 train_loss:0.006430720804435442 test_loss:1.2138728574861455 train_top5_correct:100.0 test_top5_correct:92.69
epoch:94 train_acc:99.964 test_acc:74.15 train_loss:0.005839291413950607 test_loss:1.2496414244929446 train_top5_correct:100.0 test_top5_correct:92.63
epoch:95 train_acc:99.952 test_acc:74.54 train_loss:0.0057563538457055 test_loss:1.2065002178844018 train_top5_correct:100.0 test_top5_correct:92.76
epoch:96 train_acc:99.926 test_acc:74.03 train_loss:0.008624875456537775 test_loss:1.2573082514956027 train_top5_correct:100.0 test_top5_correct:92.41
epoch:97 train_acc:99.94 test_acc:74.5 train_loss:0.00792085284860257 test_loss:1.2072302404838273 train_top5_correct:100.0 test_top5_correct:92.71
epoch:98 train_acc:99.948 test_acc:74.63 train_loss:0.006942332072583649 test_loss:1.2137492864946775 train_top5_correct:100.0 test_top5_correct:92.8
epoch:99 train_acc:99.954 test_acc:74.64 train_loss:0.006544087787189752 test_loss:1.199898058855081 train_top5_correct:100.0 test_top5_correct:92.75
